fEdep,runTime
482.031,125.552
1186.51,101.466
31.41,101.466
39.7586,58.2592
92.8339,0.915709
165.671,36.4278
64.5733,36.4278
39.3331,181.782
30.0889,181.782
152.54,42.9635
186.115,259.485
76.3151,265.7
58.3629,28.8359
72.4739,28.8359
129.383,28.8359
32.4129,15.0096
69.8693,44.4111
441.473,59.093
494.327,4.01026
676.076,145.961
258.653,14.8595
1077.7,300.187
128.633,300.187
393.604,43.6212
487.035,80.9506
342.785,10.6065
68.026,130.868
581.412,491.854
27.238,5.32187
172.183,67.5738
84.0939,67.5738
668.385,18.8734
90.3152,207.396
66.8254,207.396
79.9259,111.064
428.271,41.4062
193.35,35.1823
165.316,136.361
40.8333,77.6197
480.582,1.80723
79.7819,18.0307
96.8394,120.662
864.897,210.147
110.747,109.399
138.758,184.035
107.609,171.458
121.003,52.9592
622.227,218.338
136.771,1.16723
830.484,161.684
1067.7,65.5475
308.848,127.79
58.9093,127.79
446.663,8.71469
330.846,8.44101
35.9414,8.44101
122.949,132.093
164.758,92.5096
249.714,58.6384
384.544,10.0957
385.798,103.818
69.7661,140.361
25.2122,140.361
588.864,110.998
370.25,8.69093
212.698,169.353
87.0776,99.0027
54.7788,99.0027
159.147,81.9527
658.822,42.0448
229.099,128.714
700.761,451.455
235.46,234.744
69.2108,342.894
141.696,342.894
121.998,95.3455
451.407,109.087
58.5554,867.896
42.5338,148.519
93.1722,96.5177
1368.11,130.673
61.1165,130.673
32.6783,397.723
54.1285,397.723
516.733,212.981
885.545,446.014
247.98,85.5631
58.766,32.0682
203.422,14.6528
198.925,15.9815
200.848,15.9815
382,85.5169
120.108,85.5169
637.65,47.8309
47.1755,77.7034
81.2979,77.7034
449.169,30.6974
453.058,128.762
108.052,128.762
95.5868,34.6827
617.234,13.6771
889.622,24.1984
358.146,77.2525
55.663,134.046
27.8457,106.059
50.892,109.565
145.075,269.408
191.366,26.826
73.7457,336.315
89.2366,173.431
275.323,173.431
116.36,64.0002
484.686,35.66
48.0894,26.8635
173.733,34.1838
73.1422,166.113
84.3099,166.113
1362.29,54.6175
1860.33,176.546
69.2401,93.0518
77.532,122.457
108.331,10.5069
116.107,24.1198
162.627,48.7954
166.394,126.634
19.8793,121.275
14.8045,268.525
137.065,268.525
531.575,75.5352
157.969,50.43
240.119,45.4206
57.2356,37.9915
296.152,37.9915
903.99,2.46246
28.3018,151.996
985.546,196.918
70.7771,161.246
1159.04,284.447
26.2718,198.552
166.318,90.3752
412.388,15.3794
34.1971,7.02868
849.316,418.832
69.1992,48.6103
165.264,149.083
76.2352,44.2919
133.496,20.9264
135.354,20.9264
774.987,214.467
107.231,138.297
73.3828,95.9386
247.358,108.495
398.037,526.847
221.137,46.012
123.826,84.1032
731.213,323.878
135.041,323.878
15.8242,323.878
686.958,113.818
57.7654,113.818
10.9922,113.818
278.802,36.2143
27.4301,36.2143
166.166,60.3714
173.085,39.3489
32.4942,14.3041
74.361,7.01548
165.956,201.021
614.817,201.021
124.295,201.021
772.453,27.1145
106.367,6.21915
387.91,6.72236
59.9441,166.084
44.4664,166.084
165.694,177.552
28.9984,93.7411
88.2973,93.7411
35.8554,320.289
176.702,6.29276
55.3721,66.7421
107.81,77.2823
984.881,19.3844
