fEdep,runTime
263.335,0.000000
55.9092,75244510.798763
124.369,32076616.089757
163.214,40132360.328848
140.167,15232319.613412
81.3639,12674293.953308
156.249,47642396.389304
523.158,40012994.347530
30.0245,4132831.666546
602.809,21535645.227819
171.083,18450864.571692
268.149,24897902.230056
334.215,75247648.195183
32.1189,18021432.326720
32.3636,4322650.129544
585.778,10212686.647375
31.9573,18831981.777564
178.638,89922349.145695
193.772,10295441.347744
100.161,4845338.179087
76.4877,848130.543692
31.9219,39024103.644585
529.254,7521289.475539
443.794,153980829.358812
311.118,2125427.042702
106.262,22716293.495211
158.174,43688731.355009
221.085,43688731.355009
38.4429,9457932.853200
21.1244,27909676.389266
121.681,6910148.803027
52.836,20440505.877586
125.847,898278.124319
32.2943,67895654.988816
56.6098,67895654.988816
40.0302,858414.832545
118.565,19945044.480725
36.497,19945044.480725
31.7041,36430645.306846
114.992,26831582.672899
73.3943,1250432.409162
165.731,6198265.616588
128.874,885935.013855
127.751,21884786.535597
133.57,21884786.535597
305.84,12662324.723763
264.086,60434835.011636
95.1635,13291290.503979
155.518,4784265.441722
20.5133,41933226.981619
19.5182,16066719.853492
354.652,2574243.733089
15.3151,23153017.061489
119.918,95377384.713732
9.16769,9814089.980944
126.224,31406229.702547
11.6832,31406229.702547
94.2448,31406229.702547
321.541,31860450.398189
70.6768,31860450.398189
451.747,5033633.715482
57.3084,5033633.715482
460.785,5846105.188320
79.7045,19146149.114945
260.123,14638779.171832
140.219,1535009.398821
32.1458,20508001.828871
111.653,20508001.828871
110.406,32012464.344131
37.0893,32012464.344131
139.658,59434086.303362
30.488,42080640.544149
125.086,31158079.718915
131.127,762314.457738
248.878,4736982.587192
300.156,31764486.299372
29.3191,31764486.299372
32.3158,3449306.866493
215.628,19186670.865690
289.756,11559599.244939
42.1489,22605585.658192
77.7995,5544257.432953
45.5921,5544257.432953
86.3611,2034494.268696
74.8144,3232401.679283
89.1081,5980532.977149
32.1297,7783747.279439
171.416,13146748.144067
165.04,44708101.337908
60.2033,19332533.511830
336.681,422566.566732
32.1727,47260073.206926
4.34385,7608441.449077
37.6833,47802708.777091
50.3027,11848431.602419
197.423,19101800.334796
246.449,19101800.334796
312.345,45821622.573320
188.978,32568271.205017
80.9056,24212166.142472
74.0844,7701434.823571
159.43,14185793.910885
158.963,60678737.464091
113.064,13138059.000047
229.973,60334368.312566
170.258,4990110.505205
70.8751,5699667.386591
69.5987,5699667.386591
406.412,14300577.850272
121.918,14300577.850272
31.8005,12053047.420042
137.151,30748382.774303
93.6731,39488620.039260
31.0607,10461389.218276
262.732,49640476.070093
95.8787,451794.603956
57.5502,1181412.860349
527.379,27118384.420759
252.83,21039634.660899
211.27,4613413.920750
10.4653,24688137.541353
24.3976,29023593.425462
29.2443,443984.431585
44.2032,12098118.268734
103.288,12098118.268734
131.038,10723348.150656
69.2037,58100760.744740
470.069,7196763.851316
81.6554,32584034.850582
107.585,7440682.553587
31.9446,31807381.237907
34.0412,1754428.535517
311.075,23703435.774062
551.793,7753714.041855
51.9622,38702085.278502
83.942,29330609.334850
31.2141,4276054.724408
531.025,6625262.095608
69.3465,3538496.309596
64.8816,15015824.244487
154.975,17533393.261590
148.091,42749748.048669
68.0699,6479173.038805
97.8754,18689401.653178
251.135,14255435.308394
121.448,10544200.528758
31.52,3127479.724232
47.3843,3127479.724232
118.554,3127479.724232
224.915,6949477.944789
215.573,5497187.089500
130.495,43876362.065138
82.3601,10659151.953518
539.793,11237413.460356
42.7906,388833.174313
28.2059,31722957.965530
660.897,48903575.858822
150.342,657947.991220
228.512,18734959.819684
50.225,16426448.415748
135.262,37318134.984508
147.294,16700939.859438
107.251,18958888.158460
67.6425,4152193.672042
134.203,21422413.666366
193.245,31972580.032123
67.4187,1739411.343491
77.0536,1739411.343491
17.9662,12492421.446843
138.926,12492421.446843
27.8406,56278402.818360
32.0037,51814823.159891
27.1579,25403190.342022
409.547,39411465.174092
86.3672,25868371.154391
192.91,69313405.911535
288.453,13911752.814419
58.294,4223882.015509
30.5115,25133.188902
205.987,55986485.196115
109.959,16869803.042869
165.662,49018899.143380
121.747,43997726.124690
377.11,3269442.485653
82.0821,38357935.039563
121.26,60377589.731422
11.8071,59031408.350747
502.134,10520052.311039
227.519,38705853.990099
104.635,1835802.172600
186.323,16553826.822097
75.9627,10014741.186201
52.0536,12889815.907995
37.249,100153146.919776
42.5285,14057305.428522
208.313,7172441.742449
82.8118,278538.567830
26.2129,35833133.886089
72.1899,21527352.148332
30.0211,39314164.150572
50.9073,5297234.563384
104.556,14631855.790922
556.902,30732119.403870
53.2576,53117211.777523
34.4612,18341600.192039
133.746,53398370.611502
145.131,8047374.403936
301.146,18506915.512816
30.1576,58880.993015
50.4899,415298.148689
5.30178,97510896.490929
159.793,12754409.258212
121.995,14932949.166339
105.9,6910594.491383
25.3122,6910594.491383
450.339,9493936.627940
458.673,2725047.634453
311.678,15912359.292300
44.386,9701056.823803
266.213,73459036.031141
64.1674,73459036.031141
166.512,20052074.450458
611.05,12039229.589108
64.4428,10538753.437699
76.6476,10538753.437699
246.735,3656428.860243
532.887,15851154.681387
32.3809,18897983.121183
42.2406,18044345.616970
70.7712,86191058.863695
55.7677,86191058.863695
110.356,3247741.638177
16.4079,3247741.638177
199.204,16543596.393391
99.0353,25306373.322302
6.13641,25306373.322302
88.1758,3443702.211185
182.877,7168776.045361
223.338,7726213.167916
540.434,23979459.845103
88.2026,26452783.166190
97.5679,26452783.166190
63.7224,16824076.868392
32.5174,78491285.070665
90.9857,7349849.363681
19.5651,23563358.911826
197.279,7405866.626035
80.1715,24431775.530981
114.483,31811419.815467
305.629,21096304.371355
23.8815,21096304.371355
142.5,11707487.582114
31.5851,8271381.031104
191.66,28375971.605693
94.9206,5592655.632098
19.85,13303935.871509
427.829,35109703.116078
37.7702,35109703.116078
73.6213,35109703.116078
177.474,8160904.041163
29.629,5318069.459039
172.814,5318069.459039
32.0474,18611803.326253
143.492,27430688.488966
84.5902,27430688.488966
36.1528,44207610.461002
26.7581,33733231.865264
406.274,7759086.430258
118.356,2527230.786874
163.429,6275299.874261
187.545,8606999.770287
248.973,5061935.133965
41.7598,6211463.811439
240.095,12715458.817034
441.536,17769824.260486
129.891,6286169.324541
44.4377,97433264.162789
29.9327,3123405.929828
214.05,16577657.711447
186.772,4906068.737491
181.066,693709.461210
40.9415,30971505.688647
57.2875,44295680.585981
307.215,18164426.784009
274.287,14354277.340945
43.2076,102287956.722682
176.36,13195377.276911
93.97,41060584.942159
145.181,61668118.171121
126.216,24819577.838369
68.7292,53480743.792672
54.4683,10744910.827921
103.633,29805523.061194
89.7436,36264421.125758
193.67,10270898.552689
112.367,2684989.668924
27.6033,19128029.095659
